Source,Target
de.wikipedia.org,Gesprochener Artikel
de.wikipedia.org,Lesenswert
de.wikipedia.org,Python (Programmiersprache)
de.wikipedia.org,Programmiersprache
de.wikipedia.org,Skriptsprache
de.wikipedia.org,Objektorientierte Programmiersprache
de.wikipedia.org,Imperative Programmiersprache
de.wikipedia.org,Funktionale Programmiersprache
Funktionale Programmiersprache,Deklarative Programmiersprache
Deklarative Programmiersprache,Programmiersprache
Imperative Programmiersprache,Programmiersprache
Objektorientierte Programmiersprache,Programmiersprache
Objektorientierte Programmiersprache,Objektorientierte Programmierung
Objektorientierte Programmierung,Programmierparadigma
Programmierparadigma,Programmierung
Programmierung,Softwaretechnik
Softwaretechnik,Praktische Informatik
Softwaretechnik,Software
Software,Informationstechnik
Software,Informatik und Gesellschaft
Software,Publikation
Software,Werke
Werke,Sachsystematik
Sachsystematik,!Hauptkategorie
Publikation,Kommunikation
Publikation,%C3%96ffentlichkeit
%C3%96ffentlichkeit,Gesellschaft
Gesellschaft,Sachsystematik
Kommunikation,Kommunikation und Medien
Kommunikation und Medien,Sachsystematik
Informatik und Gesellschaft,Digitale Welt
Informatik und Gesellschaft,Gesellschaft
Digitale Welt,Sachsystematik
Informationstechnik,Technik nach Fachgebiet
Informationstechnik,Digitale Welt
Technik nach Fachgebiet,Technik
Technik,Naturwissenschaft und Technik
Naturwissenschaft und Technik,Sachsystematik
Praktische Informatik,Informatik nach Fachgebiet
Informatik nach Fachgebiet,Informatik
Informatik,Wissenschaft nach Fachgebiet
Informatik,Digitale Welt
Wissenschaft nach Fachgebiet,Wissenschaft
Wissenschaft nach Fachgebiet,Fachwissen
Fachwissen,Wissen
Wissen,Sachsystematik
Wissenschaft,Wissen
Skriptsprache,Interpretersprache
Interpretersprache,Programmiersprache
Programmiersprache,Programmierung
Programmiersprache,Formale Sprache
Formale Sprache,Konstruierte Sprache
Formale Sprache,Formale Sprachen
Formale Sprachen,Informatik
Konstruierte Sprache,Sprache nach Eigenschaft
Konstruierte Sprache,Wissensorganisation
Wissensorganisation,Dokumentation
Wissensorganisation,Planung und Organisation
Planung und Organisation,Organisationen
Organisationen,Sachsystematik
Dokumentation,Informationswissenschaft
Dokumentation,Wissenspraxis
Wissenspraxis,Wissen
Informationswissenschaft,Geisteswissenschaft
Geisteswissenschaft,Wissenschaft nach Fachgebiet
Sprache nach Eigenschaft,Sprache
Sprache,Kommunikation und Medien
Sprache,Kunst und Kultur
Kunst und Kultur,Sachsystematik
Python (Programmiersprache),Objektorientierte Programmierung
Python (Programmiersprache),Programmiersprache als Thema
Programmiersprache als Thema,Software als Thema
Programmiersprache als Thema,Formale Sprachen
Programmiersprache als Thema,Programmierung
Software als Thema,Praktische Informatik
Software als Thema,Software
Lesenswert,Bewertete Seite
Bewertete Seite,Bewertung
Bewertung,Wartung
Bewertung,Autorenportal
Autorenportal,Gemeinschaft
Gemeinschaft,
,!Wikipedia
!Wikipedia,!Hauptkategorie
Wartung,
Gesprochener Artikel,Gesprochene Wikipedia
Gesprochene Wikipedia,Publikationen
Publikationen,%C3%9Cber Wikipedia
%C3%9Cber Wikipedia,
